RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Fouls Drawn / 75,Stable Fouls Drawn Per 75,Stable Shooting Fouls Drawn Per 75,Stable Non Shooting Fouls Drawn Per 75,Stable FTA Per 75,Drive Foul Drawn Rate,Isolation Foul Drawn Rate,Fouls Drawn / 75_percentile,Stable Fouls Drawn Per 75_percentile,Stable Shooting Fouls Drawn Per 75_percentile,Stable Non Shooting Fouls Drawn Per 75_percentile,Stable FTA Per 75_percentile,Drive Foul Drawn Rate_percentile,Isolation Foul Drawn Rate_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,1.84,1.91,0,0.36,1.41,30,0,40.01,32.45,0,74.39,6.86,98.61,0
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,2.14,2.5,0,0.35,1.9,0,0,48.04,52.31,0,72.09,18.16,0,0
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,1.01,1.54,0,0.29,1.26,0,0,22.47,23.31,0,55.27,4.74,0,0
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,1.9,2.04,0,0.27,1.18,0,0,41.74,36.53,0,49.23,3.74,0,0
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,1.81,1.88,0,0.43,1.97,3.92,0,39.05,31.51,0,85.73,20.08,37.5,0
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,2.1,2.15,0,0.43,2.39,6.59,0,47.06,40,0,85.73,32.17,57.54,0
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,2.12,2.15,0,0.41,2.53,8.64,0,47.51,40,0,83.21,36.08,71.76,0
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,1.87,1.91,0,0.23,2.3,7,0,40.9,32.45,0,37.19,29.56,60.46,0
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,1.54,1.6,0,0.29,1.57,8.91,0,32.48,24.41,0,55.27,10.12,73.39,0
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,1.41,1.48,0,0.33,1.38,1.97,1.96,29.33,21.91,0,67.25,6.33,27.49,67.82
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,4.29,4.25,0,1.13,4.43,1.48,5.39,88.69,90.5,0,99.71,83.75,26.15,71.47
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,3.66,3.65,0,1.15,3.99,1,4,81.63,83.7,0,99.74,76.91,25.23,69.59
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,4.56,4.53,0,1.16,5,4.42,4.55,90.92,92.67,0,99.77,89.22,41.07,70.21
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,4.42,4.38,0,1.34,5.01,3.54,3.85,89.76,91.58,0,99.91,89.3,34.97,69.33
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,1.15,1.61,0,0.2,1.34,0,0,24.76,24.63,0,29.7,5.82,0,0
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,4.05,4.04,0,1.49,4.58,1.79,4.31,86.52,88.59,0,99.96,85.66,26.77,69.96
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,3.24,3.23,0,0.74,3.07,1.81,4.07,74.79,75.78,0,98.09,53.53,26.87,69.7
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,3.53,3.52,0,0.96,3.45,2.1,3.7,79.67,81.62,0,99.52,65.26,28.05,69.15
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,2.76,2.78,0,0.82,3.19,2.12,1.59,64.76,62.23,0,98.92,57.39,28.1,67.72
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,1.36,1.41,0,0.32,1.53,1.77,2.15,28.3,20.67,0,64.45,9.33,26.7,67.9
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,1.46,1.53,0,0.23,1.54,4.35,1.45,30.67,23.11,0,37.19,9.53,40.48,67.65
22,2017-18,Raymond Felton,33,OKC,1365,Rotation,Primary Ball Handler,Point of Attack,1.68,1.76,0,0.17,1.4,2.82,1.43,35.84,28.36,0,22.89,6.64,30.82,67.62
23,2018-19,Raymond Felton,34,OKC,379,Rotation,Secondary Ball Handler,Point of Attack,1.33,1.63,0,0.24,1.68,3.08,0,27.78,25.15,0,39.8,12.46,32.29,0
24,2015-16,Raymond Felton,31,DAL,2192,Starter,Primary Ball Handler,Chaser,2.69,2.7,0,0.57,3.1,5.95,11.11,63.15,59.58,0,94.53,54.61,52.74,84.64
25,2015-16,Charlie Villanueva,31,DAL,665,Rotation,Off Screen Shooter,Helper,0.89,1.14,0,0.26,1.63,1.06,0,21.11,16.79,0,46.12,11.44,25.37,0
26,2017-18,Channing Frye,34,CLE/LAL,695,Rotation,Stationary Shooter,Helper,2.02,2.13,0,0.16,1.29,0,0,44.96,39.35,0,20.95,5.16,0,0
27,2015-16,Channing Frye,32,ORL/CLE,1199,Rotation,Stationary Shooter,Mobile Big,2.09,2.16,0,0.25,1.34,7.14,0,46.88,40.38,0,43.11,5.82,61.29,0
28,2016-17,Channing Frye,33,CLE,1398,Rotation,Stationary Shooter,Anchor Big,2.34,2.39,0,0.29,2.09,12.24,0,54.23,48.46,0,55.27,23.63,86.75,0
29,2018-19,Channing Frye,35,CLE,341,Garbage Time,Versatile Big,Anchor Big,1.78,2.07,0,0.31,1.96,16.67,0,38.25,37.54,0,61.2,19.74,93.65,0
30,2016-17,Deron Williams,32,DAL/CLE,1657,Starter,Shot Creator,Point of Attack,2.71,2.74,0,0.17,2.62,3.2,9.8,63.62,61.04,0,22.89,38.46,33.06,81.43
31,2015-16,Deron Williams,31,DAL,2106,Starter,Shot Creator,Point of Attack,3.22,3.23,0,0.48,3.74,5.18,3.57,74.26,75.78,0,90.02,71.91,46.38,68.99
32,2017-18,Gerald Green,32,HOU,929,Key Rotation,Off Screen Shooter,Low Activity,1.88,1.98,0,0.16,2.48,7.77,12.5,41.16,34.72,0,20.95,34.64,66.22,87.46
33,2018-19,Gerald Green,33,HOU,1473,Rotation,Movement Shooter,Low Activity,1.22,1.32,0,0.16,1.8,7.91,4.35,25.8,19.1,0,20.95,15.2,67.14,69.98
34,2015-16,Gerald Green,30,MIA,1557,Key Rotation,Movement Shooter,Chaser,1.96,2.02,0,0.22,2.37,7.14,0,43.6,35.94,0,34.53,31.49,61.29,0
35,2016-17,Gerald Green,31,BOS,538,Garbage Time,Off Screen Shooter,Chaser,1.76,1.94,0,0.35,2.99,7.46,0,37.7,33.32,0,72.09,50.96,64.03,0
36,2015-16,Nate Robinson,31,NOP,23,Too Few Games,Low Minute,Point of Attack,0,2.43,0,0.38,2.94,0,0,0,49.73,0,78.54,49.18,0,0
37,2016-17,Jarrett Jack,33,NOP,33,Too Few Games,Low Minute,Point of Attack,2.27,2.85,0,0.33,3.26,16.67,0,52.12,64.54,0,67.25,59.47,93.65,0
38,2017-18,Jarrett Jack,34,NYK,1548,Starter,Primary Ball Handler,Point of Attack,2.47,2.5,0,0.24,1.91,3.7,8.11,57.83,52.31,0,39.8,18.49,35.89,77.12
39,2015-16,Jarrett Jack,32,BRK,1027,Starter,Primary Ball Handler,Point of Attack,3.03,3.03,0,0.53,4.05,4.78,10,70.85,70.8,0,92.84,78.01,43.47,81.71
40,2015-16,Ian Mahinmi,29,IND,1816,Starter,Roll + Cut Big,Anchor Big,3.54,3.51,0,0.53,4.57,18.64,13.33,79.84,81.36,0,92.84,85.56,95.57,89.05
41,2016-17,Ian Mahinmi,30,WAS,555,Rotation,Post Scorer,Mobile Big,4.04,3.92,0,0.46,4.84,11.11,0,86.39,87.38,0,88.6,87.96,83.11,0
