RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR,LEBRON Box Impact,LEBRON Vs Role Average,Multi-Year LEBRON,O-LEBRON Box Impact,LEBRON Offensive Points Added,O-LEBRON Vs Role Average,LEBRON_percentile,O-LEBRON_percentile,D-LEBRON_percentile,LEBRON WAR_percentile,LEBRON Box Impact_percentile,LEBRON Vs Role Average_percentile,Multi-Year LEBRON_percentile,O-LEBRON Box Impact_percentile,LEBRON Offensive Points Added_percentile,O-LEBRON Vs Role Average_percentile,Multi-Year O-LEBRON,Predictive O-LEBRON,D-LEBRON Box Impact,LEBRON Defensive Points Saved,D-LEBRON Vs Role Average,Multi-Year D-LEBRON,Predictive D-LEBRON,Multi-Year O-LEBRON_percentile,Predictive O-LEBRON_percentile,D-LEBRON Box Impact_percentile,LEBRON Defensive Points Saved_percentile,D-LEBRON Vs Role Average_percentile,Multi-Year D-LEBRON_percentile,Predictive D-LEBRON_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,1.23,-2.01,3.24,3.45,2.07,1.25,,-0.96,-59.74,-1.07,89.4,6.62,99.78,83.01,94.81,84.29,,31.28,3.08,13.88,,,3.03,96.42,2.33,,,,,99.76,98.92,99.26,,
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-1.38,-1.48,0.1,0.09,-1.18,0.02,-0.14,-1.2,-4.14,-0.08,20.69,15.93,60.63,22.24,24.84,53.23,27.82,23.31,49.9,47.58,-1.51,-1.82,0.03,0.28,0.11,1.37,1.01,2.91,0.39,58.09,60.38,57.35,85.38,92.16
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,-1.4,-2.39,0.99,0.13,-1.25,-0.29,0.21,-2.16,-10.6,-1.25,20.2,2.89,86.39,26.32,22.79,41.96,41.13,3.91,37.88,10.36,-1.96,-1.73,0.91,4.44,0.95,2.17,1.87,0.44,0.77,87.2,70.35,89.08,96.21,98.75
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-0.37,-3.65,3.29,0.76,-0.28,0.43,1.04,-2.88,-40.28,-2.66,49.89,0.1,99.81,50.25,54.17,66.91,66.2,0.39,9.19,0.63,-2.34,-1.49,2.6,36.41,3.09,3.37,2.27,0.17,2.96,99.19,90.35,99.88,99.59,99.71
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.95,-1.83,0.88,1.04,-1.17,-0.36,0.83,-1.71,-42.31,-1.22,32.34,8.82,84,56.28,25.21,39.57,61.23,10.14,8.23,10.95,-0.61,-0.96,0.54,20.44,0.86,1.44,0.36,22.66,39.62,78.74,84.09,87.27,86.73,77.5
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,1.45,0.55,0.9,5.91,1.86,2.03,,0.71,25.43,1.29,91.19,83.48,84.48,93.2,93.8,93.01,,86.36,86.31,90.15,,,1.14,41.11,0.74,,,,,90.69,91.88,83.92,,
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,1.02,0.13,0.88,5.09,0.62,1.63,2,-0.27,5.95,0.95,87.32,76.1,84,91.05,84.69,89.52,82.62,62.61,78.77,85.22,0.8,-0.31,0.89,40.04,0.68,1.2,0.53,73.31,73.01,86.88,91.57,82.23,82.03,83.01
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,-0.24,-0.23,-0.02,2.77,0.43,0.58,1.56,-0.23,-9.24,0.63,53.77,63.52,53.79,77.95,82.26,71.02,75.99,64.54,39.88,78.5,0.61,-0.38,0.66,-0.67,-0.05,0.95,0.83,68.92,70.86,81.7,44.92,48.56,76.03,89.51
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,0.5,-0.1,0.6,3.98,0.31,1.32,1.59,-0.4,-4.39,0.71,81.68,69.48,77.57,86.34,80.35,85.58,76.45,55.53,49.2,80.53,0.53,-0.4,0.72,25.83,0.6,1.06,0.41,67.16,70.14,83.04,86.66,79.52,79.16,79.18
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.46,0.35,0.12,2.8,1.37,0.86,2.16,0.73,10.74,0.23,80.87,80.4,61.44,78.3,91.29,77.3,84.61,86.58,81.21,64.37,1.44,0.84,0.64,3.55,0.63,0.72,0.2,85.47,90.68,81.08,68.79,80.67,67.93,72.51
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,4.32,4.02,0.3,8.03,5.13,3.75,6.22,4.46,148.38,3.06,98.83,98.71,68.58,97,99.46,98.68,99.21,99.32,97.63,98.29,5.34,3.98,0.67,10.92,0.69,0.88,0.41,99.25,98.97,81.92,77.2,82.7,73.58,79.18
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,3.01,1.93,1.08,6.48,3.22,2.62,4.91,2.86,72.92,1.1,97.06,94.48,87.85,94.6,97.7,95.94,97.99,97.29,94.13,87.56,3.73,3.21,0.36,40.57,1.52,1.17,0.42,96.76,97.79,73.16,91.72,96.26,81.59,79.55
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,5.16,4.82,0.34,11.95,4.72,4.96,,4.2,234.64,4.11,99.28,99.32,69.97,99.36,99.25,99.49,,99.12,99.31,99.42,,,0.52,16.33,0.85,,,,,78.23,81.31,87,,
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,5.45,4.65,0.8,9.67,5.11,5.19,6.46,4.37,178.28,3.97,99.48,99.22,82.45,98.48,99.45,99.61,99.36,99.26,98.48,99.32,5.62,4.41,0.74,30.48,1.22,0.85,0.06,99.39,99.37,83.7,88.39,93.03,72.77,66.61
