RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,3PT Shot Making,Midrange Shot Making,3PT Pull Up Talent,Midrange Pull Up Talent,Pull-Up Shooting Talent,Off-Ball Shot Making,Floater Talent,Putback Scoring Impact Per 75 Possessions,Passing Creation Quality,High Value Assists Per 75 Possessions,3PT Shot Making_percentile,Midrange Shot Making_percentile,3PT Pull Up Talent_percentile,Midrange Pull Up Talent_percentile,Pull-Up Shooting Talent_percentile,Off-Ball Shot Making_percentile,Floater Talent_percentile,Putback Scoring Impact Per 75 Possessions_percentile,Passing Creation Quality_percentile,High Value Assists Per 75 Possessions_percentile,Lob Passing Creation Rate,Perimeter Isolation Defense,Pickpocket Rating,Stable Recovered Blocks%,Passing Lane Defense,Off-Ball Chaser Defense,Ball Screen Navigation,Post Defense,Lob Passing Creation Rate_percentile,Perimeter Isolation Defense_percentile,Pickpocket Rating_percentile,Stable Recovered Blocks%_percentile,Passing Lane Defense_percentile,Off-Ball Chaser Defense_percentile,Ball Screen Navigation_percentile,Post Defense_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,0.11,-0.53,-0.38,-1.17,-1,0.09,-1.21,-0.1,0.58,3.43,75.03,9.87,61.29,4.25,5.7,71.75,7.8,11.89,88.32,73.85,0.02,-0.91,0.33,59.43,0.53,-0.99,-0.84,0.89,3.35,22.67,51.54,93.78,20.71,25.6,22.47,90.25
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,,-0.19,-0.96,-0.77,-0.73,-0.12,-0.4,-1.07,0.16,2.95,,36.17,13.05,19.89,21.67,36.88,57.57,0.2,76.71,67.26,0.11,0.17,0.27,57.04,1.61,-1.74,-1.02,1.34,48.31,73.14,42.24,27.97,37.7,4.79,10.45,94.36
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,,-0.05,-0.97,-0.94,-0.9,0,-0.68,0,-0.32,2.03,,56.77,10.85,9.31,9.12,59.83,32.06,21.65,34.66,49.37,0.08,0.42,0.17,58.16,1.67,-0.95,-1.22,1.08,35.93,79.61,29.18,61.75,38.73,27.17,3.67,92.35
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,0,-0.42,-0.9,-0.89,-0.85,-0.2,-0.7,-0.52,0.52,2.86,61.14,15.22,19.08,11.59,11.68,28.47,30.18,1.19,87.15,65.94,0.04,-0.61,0.27,58.91,2.64,-1.42,-1.13,0.85,15.06,38.32,42.24,87.49,61.76,12.11,5.66,89.62
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,-0.08,0.24,-0.65,-0.39,-0.5,0.08,-0.25,0,-0.05,1.78,42.24,81.74,31.03,57.46,47.38,70.89,66.76,21.65,62.42,42.18,0.05,-1.39,0.22,59.01,3.27,-0.51,-0.53,-0.09,20.75,6.49,35.37,89.08,76.34,41.86,40,65.5
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,0.91,0.62,-0.7,0.01,-0.16,0.95,0.82,0.01,-1.1,1.58,93.91,89.61,26.52,76.81,70.45,94.67,90.84,81.11,7.69,36.25,0.03,-0.01,0.39,57.46,0.56,-0.35,-0.41,-0.57,8.63,67.68,60.01,39.57,21.27,47.06,44.08,36.2
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.26,0.13,-0.55,-0.27,-0.32,-0.27,1,-0.07,-2.06,1.58,22.71,77.81,43.64,64.68,61.43,22.18,92.55,14.77,0.74,36.25,0.03,-0.43,0.17,58.38,2.88,-0.04,-0.42,-0.39,8.63,48.65,29.18,71.12,67.56,57.74,43.72,48.19
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,0.86,0.36,-0.62,0.05,-0.08,0.77,1.23,-0.18,-1.55,1.3,93.4,85.06,34.7,77.95,73.85,92.54,93.97,7.06,3.17,28.63,0.1,1.49,0.29,57.2,3.14,0.73,-0.6,0.25,44.41,94.7,45.34,32.13,73.55,82,36.82,77.71
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,0.11,-0.22,-0.76,-0.73,-0.81,0.28,-0.07,-0.19,-0.27,1.31,75.03,32.27,23.32,23.66,14.66,81.25,73.9,6.64,38.01,28.85,0.03,-0.05,0.33,57.3,3.3,0.1,-0.38,-0.39,8.63,66.2,51.54,34.88,77.02,62.52,45.19,48.19
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.22,0.33,0.24,0.4,0.39,0.27,0.12,0,-1.8,7.68,80.38,84.35,85.77,85.92,86.15,80.91,79.99,21.65,1.66,97.9,0.56,-0.83,0.83,57.88,3.67,0.15,0.76,0.11,95.8,26.64,92.31,52.52,82.68,64.1,80.67,73.1
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,1.22,1.28,4.2,1.87,3.35,0.06,0,0,0.35,9.17,96.35,95.52,99.64,97.27,99.39,69.38,76.37,21.65,82.76,99.26,0.28,-0.99,0.78,58.75,4.72,1.48,1.83,-0.78,84.12,19.32,90.56,84.25,93.52,95.56,95.52,23.54
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,0.58,0.11,2.01,0.38,1.11,0.25,-0.74,0.12,1.13,8.93,89.48,76.38,97.92,85.53,93.91,80.15,26.93,90.35,94.81,99.13,0.38,-1.17,0.94,56.34,5.18,0.51,0.65,-0.01,90.64,12.57,94.53,18.93,95.7,75.81,78.2,68.85
