RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Points Over Expectation / 75,Stable eFG%,Overall Shot Making Efficiency,Overall Shot Making,Self-Created Shot Making Efficiency,Overall Shot Creation,Role Adjusted Stable eFG%,Points Over Expectation / 75_percentile,Stable eFG%_percentile,Overall Shot Making Efficiency_percentile,Overall Shot Making_percentile,Self-Created Shot Making Efficiency_percentile,Overall Shot Creation_percentile,Role Adjusted Stable eFG%_percentile
1,2015-16,Andrew Bogut,31,GSW,1451,Key Rotation,Roll + Cut Big,Anchor Big,0.31,57.62,-0.25,-0.14,-0.96,-0.99,0.6,80.49,92.45,61.14,44.08,22.97,25.65,93.84
2,2018-19,Andrew Bogut,34,GSW,134,Garbage Time,Athletic Finisher,Helper,-1.36,51.69,-0.78,-0.25,-0.7,-0.6,0.47,9.91,41.37,30.93,32.68,37.37,45.13,9.63
3,2017-18,Andrew Bogut,33,LAL,216,Garbage Time,Athletic Finisher,Helper,0,53.83,-0.1,0,-0.17,-0.71,0.5,36.38,66.44,67.98,65.14,68.76,40.05,28.87
4,2016-17,Andrew Bogut,32,DAL/CLE,583,Key Rotation,Roll + Cut Big,Helper,-1.12,49.79,-1.21,-0.46,-1.34,-0.36,0.55,13.43,22.1,13.54,16.55,9.73,55.55,72.35
5,2019-20,Marvin Williams,33,CHO/MIL,1129,Rotation,Versatile Big,Helper,0.38,54.19,0.29,0.16,0.44,-1.36,0.54,81.91,69.96,80.06,76.06,86.47,8.69,63.82
6,2015-16,Marvin Williams,29,CHO,2338,Starter,Movement Shooter,Helper,1.38,54.31,1.17,0.93,0.62,-1.15,0.54,94.65,71.18,94.76,92.17,90.02,17.86,63.82
7,2016-17,Marvin Williams,30,CHO,2295,Starter,Movement Shooter,Helper,-0.36,51,-0.36,-0.15,0.29,-1.18,0.51,28.07,34.03,55.32,42.8,83.41,16.52,36.69
8,2017-18,Marvin Williams,31,CHO,2006,Starter,Movement Shooter,Helper,0.46,55.73,0.9,0.59,0.12,-1.29,0.55,83.5,83.43,91.78,87.34,79.39,11.42,72.35
9,2018-19,Marvin Williams,32,CHO,2133,Starter,Movement Shooter,Helper,-0.11,52.71,-0.3,-0.13,-1.34,-1.27,0.53,33.67,53.68,58.74,45.25,9.73,12.3,54.54
10,2023-24,Chris Paul,38,GSW,1531,Key Rotation,Primary Ball Handler,Chaser,0.45,53.21,0.3,0.26,-0.11,0.58,0.53,83.27,59.73,80.35,79.99,71.45,83.24,54.54
11,2017-18,Chris Paul,32,HOU,1847,Star,Shot Creator,Point of Attack,2.98,54.42,1.28,1.49,1.49,1.99,0.54,99.49,72.25,95.61,95.87,97.83,99.01,63.82
12,2018-19,Chris Paul,33,HOU,1857,Star,Shot Creator,Chaser,0.4,51.03,0.31,0.42,0.06,1.73,0.51,82.4,34.3,80.61,84.2,77.21,97.62,36.69
13,2015-16,Chris Paul,30,LAC,2420,Star,Shot Creator,Point of Attack,2.16,51.45,0.95,1.29,0.65,2.25,0.51,98.22,38.6,92.5,94.86,90.52,99.51,36.69
14,2016-17,Chris Paul,31,LAC,1921,Star,Shot Creator,Point of Attack,1.94,54.64,1.52,1.63,1.57,1.77,0.54,97.58,74.39,97.07,96.63,98.21,97.98,63.82
15,2025-26,Chris Paul,40,LAC,228,Rotation,Primary Ball Handler,Chaser,0,51.87,-1.07,-0.34,-1.37,0.34,0.51,36.38,43.7,18.24,24.5,9.17,78.1,36.69
16,2019-20,Chris Paul,34,OKC,2208,Star,Shot Creator,Low Activity,2.3,54.79,1.97,1.93,2.12,1.68,0.55,98.47,76.01,98.88,97.48,99.43,97.24,72.35
17,2020-21,Chris Paul,35,PHO,2199,Star,Shot Creator,Chaser,1.43,55.43,1.61,1.56,1.67,1.75,0.55,95.13,81.34,97.62,96.27,98.6,97.86,72.35
18,2021-22,Chris Paul,36,PHO,2139,Star,Primary Ball Handler,Low Activity,0.88,53.48,1.51,1.4,1.71,1.56,0.53,90.01,62.66,96.99,95.46,98.71,96.51,54.54
19,2022-23,Chris Paul,37,PHO,1889,Star,Primary Ball Handler,Low Activity,0.48,52.17,0.29,0.39,-0.42,1.35,0.52,83.85,47.2,80.06,83.51,55.05,94.73,45.51
20,2024-25,Chris Paul,39,SAS,2292,Starter,Primary Ball Handler,Low Activity,0.51,54.54,0.55,0.33,0.45,0.52,0.54,84.47,73.46,86.08,81.71,86.75,81.9,63.82
21,2016-17,Raymond Felton,32,LAC,1700,Key Rotation,Primary Ball Handler,Point of Attack,-0.85,48.44,-0.73,-0.36,-0.63,0.88,0.49,18.15,11.38,33.67,23.1,41.76,88.77,21.64
