Season,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
2025-26,1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,2,0,2,0.0,8.2,2.0,5.0,0.4,1.0,2.0,0.5,1.0,1.0,1.0,0.5,2.0,2.5,0.0,0.0,0.0,1.0,0.5,2.5,0.5,6.0,-3.5,12.0,0,0,11.5,476,480,430,480,418,309,283,375,217,276,18,250,300,1,305,273,295,478,468,458,42,154,87,381,291,405,316,173,21,322,1
2025-26,1631260,AJ Green,AJ,1610612749,MIL,26.0,26,10,16,0.385,28.6,3.4,7.3,0.471,3.1,6.7,0.468,0.8,1.0,0.8,0.1,2.7,2.8,2.1,0.9,0.5,0.1,0.2,2.7,1.3,10.7,-0.1,18.2,0,0,20.0,106,206,61,329,115,198,206,217,14,42,37,298,311,181,468,212,269,184,266,297,365,312,68,237,171,240,228,173,21,193,1
2025-26,1642358,AJ Johnson,AJ,1610612764,WAS,21.0,11,0,11,0.0,4.4,0.2,1.4,0.133,0.0,0.3,0.0,0.3,0.4,0.75,0.2,0.5,0.6,0.5,0.2,0.0,0.0,0.5,0.4,0.3,0.6,-1.5,1.9,0,0,1.7,377,480,171,480,466,487,459,489,426,442,426,405,413,265,445,466,468,420,448,458,423,183,475,436,486,318,488,173,21,491,1
2025-26,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,28.3,6.3,11.8,0.532,2.2,4.8,0.444,4.0,4.6,0.867,1.5,4.5,5.9,1.3,1.4,0.8,0.2,0.4,1.8,3.4,18.8,12.7,29.5,2,0,30.2,344,206,406,50,119,72,99,89,73,111,48,46,53,92,104,77,77,288,160,195,268,223,241,68,62,3,107,81,21,90,1
2025-26,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,20,15,5,0.75,16.0,2.6,5.8,0.448,1.8,4.0,0.443,1.3,1.5,0.862,0.2,1.0,1.1,1.1,1.0,0.4,0.2,0.2,1.4,1.4,8.2,3.1,11.8,0,0,13.2,246,85,354,57,306,262,253,275,110,164,56,200,238,101,453,418,429,322,250,349,334,334,325,232,229,84,322,173,21,298,1
2025-26,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,30.4,4.9,13.4,0.367,2.8,7.5,0.373,2.8,3.5,0.795,1.5,2.9,4.5,1.5,0.7,0.8,0.3,0.9,2.5,3.5,15.5,-3.9,25.7,0,0,26.5,377,458,203,479,85,126,75,414,24,21,163,86,86,200,98,189,151,250,306,170,235,41,101,66,99,427,136,173,21,123,1
2025-26,1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,16,14,2,0.875,24.1,4.5,9.9,0.456,2.2,5.4,0.407,0.7,0.9,0.733,0.8,2.4,3.1,1.8,1.1,0.6,0.6,0.3,2.1,0.7,11.9,8.2,20.6,0,0,21.3,319,112,430,25,189,145,131,259,72,85,97,317,313,289,234,227,243,216,201,288,113,268,193,354,154,17,192,173,21,174,1
2025-26,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,27,10,17,0.37,24.1,4.1,9.4,0.441,1.5,4.3,0.353,0.7,1.0,0.679,1.4,1.9,3.3,1.7,1.3,0.7,0.4,0.2,2.5,1.0,10.5,-4.8,19.1,0,0,19.3,71,206,49,343,190,161,145,294,134,146,210,311,299,348,115,289,226,229,171,207,183,351,86,283,174,456,217,173,21,203,1
2025-26,1641737,Adem Bona,Adem,1610612755,PHI,22.0,19,13,6,0.684,16.5,1.3,2.5,0.532,0.1,0.2,0.5,1.1,1.7,0.625,1.8,2.1,3.8,0.2,0.7,0.4,1.6,0.3,2.1,1.6,3.8,1.4,13.7,0,0,11.8,268,134,316,104,293,378,409,90,410,448,18,244,201,389,70,266,194,465,303,363,15,291,194,197,369,159,302,173,21,317,1
2025-26,1642876,Adou Thiero,Adou,1610612747,LAL,21.0,11,7,4,0.636,5.5,0.3,0.6,0.429,0.0,0.0,0.0,0.4,0.5,0.8,0.4,0.4,0.7,0.1,0.3,0.3,0.0,0.1,1.1,0.3,0.9,-0.6,2.5,0,0,2.3,377,276,379,136,451,483,485,324,426,460,426,382,392,181,373,474,464,475,429,399,423,412,375,436,482,262,481,173,21,484,1
2025-26,1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,28,25,3,0.893,26.2,5.0,10.8,0.468,1.1,3.1,0.345,2.9,3.3,0.891,0.6,2.9,3.4,3.6,1.5,1.4,0.3,0.5,2.1,3.2,14.1,10.0,27.3,1,0,25.6,28,1,406,22,156,119,117,227,210,202,232,82,96,66,291,192,221,85,146,40,227,177,178,79,111,11,126,111,21,130,1
