Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,1,2.9,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631260,AJ Green,1610612749,MIL,26.0,25,28.8,3.88,2.16,1.72,1.48,0.12,0.28,0.64,0.12,0.4,0.52,0.231,0.769,0.0,0.68,0.68,0.68,0.2,0.0,1.0,1.0,0.294
2025-26,1642358,AJ Johnson,1610612764,WAS,21.0,6,4.8,1.33,0.5,0.83,0.33,0.0,0.17,0.33,0.17,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,13,28.3,2.54,1.77,0.77,0.62,0.0,0.69,1.62,0.23,0.31,0.54,0.429,0.571,0.08,0.23,0.31,0.31,0.23,0.25,0.75,1.0,0.75
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,19,16.7,2.26,1.11,1.16,1.0,0.05,0.21,0.42,0.05,0.11,0.16,0.333,0.667,0.0,0.11,0.11,0.11,0.0,0.0,1.0,1.0,0.0
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,11,30.4,3.91,2.18,1.73,1.73,0.0,0.64,1.27,0.55,0.09,0.64,0.857,0.143,0.09,0.36,0.45,0.45,0.18,0.2,0.8,1.0,0.4
2025-26,1630598,Aaron Wiggins,1610612760,OKC,26.0,16,24.1,4.13,2.44,1.69,1.94,0.0,0.44,1.0,0.44,0.44,0.88,0.5,0.5,0.0,0.19,0.19,0.19,0.13,0.0,1.0,1.0,0.667
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,27,24.1,4.11,2.11,2.0,1.3,0.0,0.11,0.22,0.48,0.11,0.59,0.813,0.188,0.04,0.59,0.63,0.59,0.26,0.059,0.941,0.941,0.412
2025-26,1641737,Adem Bona,1610612755,PHI,22.0,19,16.5,6.68,4.68,2.0,1.05,0.0,1.58,3.79,0.21,0.32,0.53,0.4,0.6,0.21,0.37,0.58,0.58,0.32,0.364,0.636,1.0,0.545
2025-26,1642876,Adou Thiero,1610612747,LAL,21.0,9,6.3,0.78,0.56,0.22,0.67,0.0,0.0,0.0,0.11,0.0,0.11,1.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,1.0,1.0,0.0
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23.0,27,27.0,3.44,1.89,1.56,2.89,0.0,0.22,0.48,0.3,0.37,0.67,0.444,0.556,0.0,0.37,0.37,0.37,0.19,0.0,1.0,1.0,0.5
2025-26,201143,Al Horford,1610612744,GSW,39.0,13,21.5,7.46,4.77,2.69,1.62,0.0,1.31,3.31,0.38,0.15,0.54,0.714,0.286,0.15,1.08,1.23,1.23,1.15,0.125,0.875,1.0,0.938
2025-26,1627936,Alex Caruso,1610612760,OKC,31.0,19,18.8,2.58,1.11,1.47,3.53,0.11,0.42,0.95,0.26,0.32,0.58,0.455,0.545,0.0,0.37,0.37,0.37,0.32,0.0,1.0,1.0,0.857
2025-26,1642259,Alex Sarr,1610612764,WAS,20.0,18,29.2,10.5,7.89,2.61,1.17,0.0,4.22,9.94,0.44,0.22,0.67,0.667,0.333,0.44,1.06,1.5,1.5,1.11,0.296,0.704,1.0,0.741
2025-26,1642918,Alijah Martin,1610612761,TOR,23.0,2,3.3,2.0,0.5,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1630578,Alperen Sengun,1610612745,HOU,23.0,23,35.9,7.96,4.74,3.22,3.04,0.13,1.91,4.52,0.65,0.3,0.96,0.682,0.318,0.7,0.96,1.65,1.65,1.35,0.421,0.579,1.0,0.816
2025-26,1642873,Amari Williams,1610612738,BOS,23.0,3,9.3,5.0,3.33,1.67,0.33,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1641708,Amen Thompson,1610612745,HOU,22.0,25,36.7,4.52,2.68,1.84,2.6,0.04,0.28,0.68,0.48,0.52,1.0,0.48,0.52,0.36,0.4,0.76,0.76,0.52,0.474,0.526,1.0,0.684
2025-26,1629599,Amir Coffey,1610612749,MIL,28.0,11,10.5,0.91,0.64,0.27,0.55,0.0,0.09,0.27,0.0,0.09,0.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,203083,Andre Drummond,1610612755,PHI,32.0,26,21.9,6.62,5.04,1.58,1.77,0.0,1.46,3.42,0.23,0.12,0.35,0.667,0.333,1.15,0.58,1.73,1.73,1.58,0.667,0.333,1.0,0.911
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,24.0,8,9.8,0.88,0.75,0.13,1.25,0.0,0.5,1.0,0.13,0.13,0.25,0.5,0.5,0.13,0.0,0.13,0.13,0.13,1.0,0.0,1.0,1.0
2025-26,1629614,Andrew Nembhard,1610612754,IND,25.0,20,31.3,2.25,1.6,0.65,2.05,0.05,0.2,0.45,0.2,0.25,0.45,0.444,0.556,0.0,0.25,0.25,0.25,0.05,0.0,1.0,1.0,0.2
2025-26,203952,Andrew Wiggins,1610612748,MIA,30.0,24,32.9,8.13,4.21,3.92,2.25,0.0,0.08,0.21,0.63,0.17,0.79,0.789,0.211,0.08,0.83,0.92,0.83,0.33,0.091,0.909,0.909,0.364
2025-26,1629014,Anfernee Simons,1610612738,BOS,26.0,27,24.1,2.33,1.07,1.26,1.15,0.0,0.19,0.41,0.07,0.19,0.26,0.286,0.714,0.0,0.07,0.07,0.07,0.0,0.0,1.0,1.0,0.0
2025-26,1641710,Anthony Black,1610612753,ORL,21.0,28,29.2,4.46,2.57,1.89,3.14,0.04,0.29,0.64,0.25,0.43,0.68,0.368,0.632,0.0,0.32,0.32,0.32,0.11,0.0,1.0,1.0,0.333
2025-26,203076,Anthony Davis,1610612742,DAL,32.0,13,30.5,9.46,6.62,2.85,2.69,0.15,3.0,6.38,0.08,0.0,0.08,1.0,0.0,0.85,0.62,1.46,1.46,1.31,0.579,0.421,1.0,0.895
2025-26,1630162,Anthony Edwards,1610612750,MIN,24.0,21,34.7,3.95,2.38,1.57,2.1,0.0,0.05,0.14,0.52,0.38,0.9,0.579,0.421,0.0,0.19,0.19,0.19,0.14,0.0,1.0,1.0,0.75
2025-26,1630264,Anthony Gill,1610612764,WAS,33.0,4,4.5,0.5,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.75,0.75,0.75,0.75,0.0,1.0,1.0,1.0
2025-26,1641810,Antonio Reeves,1610612766,CHA,25.0,5,9.8,1.8,0.8,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.2,0.0,1.0,1.0,0.5
2025-26,1630574,Ariel Hukporti,1610612752,NYK,23.0,13,10.6,4.31,3.23,1.08,0.23,0.0,1.0,2.31,0.0,0.23,0.23,0.0,1.0,0.46,0.46,0.92,0.92,0.69,0.5,0.5,1.0,0.75
2025-26,1642854,Asa Newell,1610612737,ATL,20.0,16,11.4,2.69,1.38,1.31,0.38,0.0,0.38,0.75,0.25,0.06,0.31,0.8,0.2,0.19,0.44,0.63,0.63,0.44,0.3,0.7,1.0,0.7
2025-26,1641709,Ausar Thompson,1610612765,DET,22.0,24,26.6,3.58,1.79,1.79,4.58,0.04,0.29,0.63,0.38,0.54,0.92,0.409,0.591,0.08,0.08,0.17,0.17,0.13,0.5,0.5,1.0,0.75
2025-26,1630559,Austin Reaves,1610612747,LAL,27.0,21,36.9,3.43,1.62,1.81,1.95,0.43,0.33,0.67,0.67,0.52,1.19,0.56,0.44,0.0,0.38,0.38,0.38,0.05,0.0,1.0,1.0,0.125
2025-26,1630245,Ayo Dosunmu,1610612741,CHI,25.0,21,27.2,3.29,1.9,1.38,0.86,0.1,0.19,0.43,0.24,0.24,0.48,0.5,0.5,0.0,0.24,0.24,0.24,0.05,0.0,1.0,1.0,0.2
2025-26,1628389,Bam Adebayo,1610612748,MIA,28.0,22,31.1,6.73,4.23,2.5,2.45,0.05,1.18,2.82,0.36,0.32,0.68,0.533,0.467,0.41,2.55,2.95,2.77,1.95,0.138,0.862,0.938,0.662
2025-26,1631248,Baylor Scheierman,1610612738,BOS,25.0,23,12.0,1.78,0.87,0.91,1.26,0.04,0.39,1.09,0.13,0.17,0.3,0.429,0.571,0.04,0.17,0.22,0.22,0.09,0.2,0.8,1.0,0.4
