Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
2025-26,1631260,AJ Green,1610612749,MIL,19,8,11,28.8,0.1,0.0,0.1,0.0,0.7,0.077,0.1,0.083,29.7,2.8,0.6,2.3,0.204,4.6,0.621,0.2,0.651,8.3,2.9,0.6,2.3,0.2,5.1,0.567,0.3,0.598,8.7
2025-26,1642358,AJ Johnson,1610612764,WAS,5,0,5,4.5,0.4,0.0,0.4,0.0,0.4,1.0,0.0,1.0,11.5,0.8,0.2,0.6,0.25,1.4,0.571,0.2,0.667,5.2,1.2,0.2,1.0,0.167,1.8,0.667,0.2,0.75,7.3
2025-26,203932,Aaron Gordon,1610612743,DEN,13,10,3,28.3,1.5,0.8,0.6,0.579,2.8,0.514,0.2,0.543,7.4,4.5,1.3,3.2,0.293,6.2,0.725,0.1,0.734,5.9,5.9,2.2,3.8,0.364,8.8,0.675,0.2,0.694,6.2
2025-26,1628988,Aaron Holiday,1610612745,HOU,6,6,0,18.3,0.3,0.2,0.2,0.5,1.0,0.333,0.0,0.333,17.3,1.2,0.2,1.0,0.143,1.8,0.636,0.2,0.7,11.3,1.5,0.3,1.2,0.222,2.8,0.529,0.2,0.563,12.6
2025-26,1630174,Aaron Nesmith,1610612754,IND,11,1,10,30.4,1.5,0.6,0.9,0.412,3.0,0.515,0.0,0.515,16.5,2.9,0.4,2.5,0.125,5.5,0.533,0.5,0.593,7.6,4.5,1.0,3.5,0.224,8.3,0.538,0.5,0.576,10.7
2025-26,1630598,Aaron Wiggins,1610612760,OKC,10,9,1,26.8,1.0,0.7,0.3,0.7,2.4,0.417,0.2,0.455,8.4,2.4,0.2,2.2,0.083,4.1,0.585,0.4,0.649,8.2,3.4,0.9,2.5,0.265,6.3,0.54,0.6,0.596,8.2
2025-26,1642846,Ace Bailey,1610612762,UTA,18,6,12,22.0,1.7,0.7,1.0,0.419,2.8,0.608,0.1,0.62,9.4,1.8,0.5,1.3,0.273,2.8,0.647,0.2,0.688,9.0,3.6,1.2,2.3,0.344,5.5,0.646,0.2,0.674,9.2
2025-26,1641737,Adem Bona,1610612755,PHI,13,7,6,16.2,1.5,1.2,0.3,0.789,4.8,0.306,0.2,0.322,4.7,2.4,0.8,1.6,0.323,5.3,0.449,0.5,0.5,4.2,3.8,1.9,1.9,0.5,9.7,0.397,0.8,0.431,4.4
2025-26,1642876,Adou Thiero,1610612747,LAL,1,1,0,4.7,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.5,0.0,0.5,8.0
2025-26,1642349,Ajay Mitchell,1610612760,OKC,19,18,1,27.7,0.6,0.4,0.3,0.583,2.0,0.316,0.1,0.333,10.8,3.2,0.8,2.4,0.262,4.9,0.656,0.3,0.693,9.4,3.8,1.2,2.6,0.315,6.6,0.579,0.4,0.613,9.6
2025-26,201143,Al Horford,1610612744,GSW,12,7,5,21.8,0.9,0.3,0.6,0.364,1.8,0.524,0.0,0.524,9.6,3.3,1.7,1.7,0.5,5.4,0.615,0.5,0.678,4.9,4.3,2.0,2.3,0.471,7.0,0.607,0.5,0.654,5.9
2025-26,1627936,Alex Caruso,1610612760,OKC,13,13,0,20.2,0.4,0.1,0.3,0.2,1.4,0.278,0.0,0.278,14.3,2.4,0.5,1.8,0.226,3.9,0.608,0.5,0.689,8.7,2.8,0.6,2.2,0.222,5.2,0.537,0.5,0.59,9.5
2025-26,1642259,Alex Sarr,1610612764,WAS,16,2,14,29.7,2.4,1.8,0.6,0.763,5.0,0.475,0.1,0.487,4.4,6.2,2.1,4.1,0.343,12.7,0.488,1.7,0.563,3.9,8.6,3.9,4.6,0.46,17.5,0.489,1.8,0.546,4.1
2025-26,1630578,Alperen Sengun,1610612745,HOU,17,13,4,36.1,2.9,1.9,0.9,0.673,6.7,0.43,0.5,0.467,4.9,6.2,1.9,4.4,0.302,10.1,0.616,0.8,0.671,4.5,9.1,3.8,5.3,0.419,16.1,0.566,1.4,0.618,4.6
2025-26,1642873,Amari Williams,1610612738,BOS,4,2,2,7.1,0.5,0.3,0.3,0.5,1.3,0.4,0.0,0.4,8.3,1.3,0.0,1.3,0.0,2.3,0.556,0.0,0.556,6.1,1.8,0.3,1.5,0.143,3.5,0.5,0.0,0.5,6.7
2025-26,1641708,Amen Thompson,1610612745,HOU,17,13,4,36.2,2.5,1.4,1.1,0.548,5.9,0.416,0.1,0.424,6.8,4.5,1.2,3.3,0.263,7.1,0.633,0.6,0.691,7.6,6.9,2.5,4.4,0.364,12.6,0.549,0.7,0.581,7.3
2025-26,1629599,Amir Coffey,1610612749,MIL,8,4,4,12.3,0.5,0.0,0.5,0.0,1.1,0.444,0.0,0.444,18.1,1.3,0.3,1.0,0.2,2.1,0.588,0.1,0.625,5.4,1.8,0.3,1.5,0.143,3.3,0.538,0.1,0.56,9.0
2025-26,203083,Andre Drummond,1610612755,PHI,18,10,8,22.4,3.2,2.1,1.1,0.649,6.2,0.509,0.2,0.528,4.2,6.6,2.3,4.3,0.353,10.3,0.64,0.8,0.696,4.2,9.8,4.4,5.4,0.449,15.8,0.618,1.1,0.662,4.2
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,4,1,3,11.3,0.8,0.3,0.5,0.333,1.5,0.5,0.0,0.5,6.0,1.0,0.3,0.8,0.25,1.3,0.8,0.0,0.8,4.6,1.8,0.5,1.3,0.286,2.3,0.778,0.0,0.778,5.2
2025-26,1629614,Andrew Nembhard,1610612754,IND,11,2,9,30.7,0.3,0.1,0.2,0.333,1.4,0.2,0.1,0.214,15.1,1.6,0.5,1.2,0.278,3.5,0.462,0.6,0.563,10.1,1.9,0.5,1.4,0.286,4.7,0.404,0.7,0.477,10.8
2025-26,203952,Andrew Wiggins,1610612748,MIA,15,9,6,33.0,1.5,1.0,0.5,0.682,3.7,0.4,0.3,0.431,5.8,3.5,1.5,1.9,0.423,7.3,0.477,0.7,0.531,6.3,4.9,2.5,2.4,0.5,10.9,0.454,1.0,0.5,6.1
2025-26,1629014,Anfernee Simons,1610612738,BOS,17,8,9,24.2,0.4,0.1,0.3,0.286,0.9,0.438,0.0,0.438,7.2,2.2,0.3,1.9,0.135,3.9,0.561,0.3,0.607,10.2,2.6,0.4,2.2,0.159,4.8,0.537,0.3,0.571,9.7
2025-26,1641710,Anthony Black,1610612753,ORL,19,11,8,28.0,0.5,0.2,0.3,0.4,1.8,0.294,0.2,0.323,8.1,2.6,0.4,2.2,0.143,4.8,0.538,0.3,0.576,7.9,3.1,0.6,2.5,0.186,6.6,0.472,0.5,0.509,7.9
2025-26,203076,Anthony Davis,1610612742,DAL,6,2,4,29.6,3.2,2.7,0.5,0.842,6.0,0.528,0.5,0.576,2.6,6.2,1.2,5.0,0.189,10.7,0.578,0.8,0.627,5.2,9.3,3.8,5.5,0.411,15.7,0.596,1.3,0.651,4.3
