Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,A.J.,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,,,,1.0,1.0,1.0
2025-26,1631260,AJ Green,1610612749,MIL,26.0,AJ,0.1,0.1,0.667,0.2,0.3,0.625,0.0,0.1,0.0,0.7,1.2,0.571,0.5,0.6,0.8,2.1,5.0,0.425,0.0,0.0,0.0,1.2,1.8,0.651
2025-26,1642358,AJ Johnson,1610612764,WAS,21.0,AJ,0.1,0.7,0.167,0.1,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,Aaron,3.3,4.2,0.796,0.4,1.5,0.263,0.5,1.4,0.333,0.3,0.8,0.4,0.2,0.5,0.286,1.7,3.5,0.478,0.0,0.0,0.0,0.5,1.3,0.353
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,Aaron,0.3,0.6,0.556,0.7,1.3,0.524,0.1,0.3,0.25,0.4,0.9,0.417,0.3,0.5,0.5,1.3,2.9,0.426,0.0,0.0,0.0,0.6,1.3,0.45
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,Aaron,1.3,2.6,0.483,0.5,2.0,0.273,0.3,1.2,0.231,0.3,0.8,0.333,0.5,1.1,0.417,2.1,5.6,0.371,0.0,0.0,0.0,0.7,1.9,0.381
2025-26,1630598,Aaron Wiggins,1610612760,OKC,26.0,Aaron,1.6,2.6,0.618,0.8,1.9,0.44,0.2,0.4,0.6,0.3,1.2,0.267,0.4,0.7,0.556,1.8,4.0,0.462,0.0,0.0,0.0,0.7,1.8,0.375
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,Ace,1.4,1.9,0.727,0.5,1.1,0.44,0.6,1.8,0.341,0.3,0.6,0.615,0.2,0.8,0.211,1.0,2.8,0.359,0.0,0.0,0.0,0.5,1.4,0.375
2025-26,1641737,Adem Bona,1610612755,PHI,22.0,Adem,1.1,1.9,0.563,0.2,0.3,0.6,0.0,0.0,0.0,0.1,0.2,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.333
2025-26,1642876,Adou Thiero,1610612747,LAL,21.0,Adou,0.4,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23.0,Ajay,2.3,3.4,0.659,1.6,3.4,0.469,0.2,1.0,0.2,0.4,0.8,0.5,0.0,0.3,0.143,0.7,2.3,0.315,0.0,0.0,0.0,0.4,1.0,0.4
2025-26,201143,Al Horford,1610612744,GSW,39.0,Al,0.2,0.3,0.5,0.4,0.9,0.417,0.1,0.4,0.2,0.2,0.5,0.333,0.5,0.8,0.636,0.6,3.1,0.2,0.0,0.0,0.0,0.7,1.3,0.529
2025-26,1627936,Alex Caruso,1610612760,OKC,31.0,Alex,0.7,1.0,0.667,0.1,0.7,0.1,0.1,0.1,1.0,0.2,0.6,0.375,0.2,0.6,0.333,0.7,2.1,0.355,0.0,0.0,0.0,0.4,1.1,0.353
2025-26,1642259,Alex Sarr,1610612764,WAS,20.0,Alex,4.1,5.5,0.739,2.1,5.1,0.42,0.4,1.3,0.35,0.0,0.2,0.0,0.1,0.1,1.0,1.1,3.0,0.354,0.0,0.0,0.0,0.1,0.3,0.25
2025-26,1642918,Alijah Martin,1610612761,TOR,23.0,Alijah,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2025-26,1630578,Alperen Sengun,1610612745,HOU,23.0,Alperen,3.7,5.5,0.676,2.8,6.2,0.458,0.8,2.3,0.364,0.1,0.2,0.333,0.1,0.1,1.0,0.9,2.5,0.362,0.0,0.0,0.0,0.2,0.3,0.6
2025-26,1642873,Amari Williams,1610612738,BOS,23.0,Amari,0.0,0.0,0.0,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1641708,Amen Thompson,1610612745,HOU,22.0,Amen,4.4,6.4,0.694,1.4,4.2,0.341,0.5,1.5,0.313,0.1,0.4,0.125,0.1,0.7,0.2,0.2,1.0,0.238,0.0,0.0,0.0,0.2,1.1,0.174
2025-26,1629599,Amir Coffey,1610612749,MIL,28.0,Amir,0.2,0.2,1.0,0.1,0.2,0.25,0.1,0.3,0.4,0.0,0.2,0.0,0.1,0.4,0.2,0.1,0.2,0.667,0.0,0.0,0.0,0.1,0.5,0.143
2025-26,203083,Andre Drummond,1610612755,PHI,32.0,Andre,2.2,3.6,0.62,0.4,0.8,0.471,0.0,0.0,0.0,0.2,0.7,0.357,0.2,0.5,0.5,0.0,0.2,0.2,0.0,0.0,0.0,0.5,1.1,0.417
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,24.0,Andre,0.2,0.3,0.667,0.1,0.4,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.7,0.286,0.0,0.0,0.0,0.0,0.2,0.0
2025-26,1629614,Andrew Nembhard,1610612754,IND,25.0,Andrew,1.7,2.3,0.75,1.4,3.0,0.479,0.9,3.2,0.294,0.0,0.1,0.0,0.0,0.1,0.0,1.8,4.9,0.372,0.0,0.0,0.0,0.0,0.2,0.0
2025-26,203952,Andrew Wiggins,1610612748,MIA,30.0,Andrew,2.6,4.0,0.655,1.5,3.2,0.463,0.8,1.8,0.421,0.3,0.6,0.462,0.1,0.5,0.273,1.3,3.5,0.37,0.0,0.0,0.0,0.4,1.1,0.375
2025-26,1629014,Anfernee Simons,1610612738,BOS,26.0,Anfernee,0.8,1.1,0.667,0.8,1.5,0.541,0.7,2.0,0.354,0.2,0.4,0.556,0.1,0.2,0.4,2.2,5.5,0.391,0.0,0.0,0.0,0.3,0.6,0.5
2025-26,1641710,Anthony Black,1610612753,ORL,21.0,Anthony,2.8,4.2,0.673,0.6,1.9,0.326,0.1,0.7,0.188,0.3,0.6,0.5,0.1,0.5,0.167,0.7,2.5,0.288,0.0,0.0,1.0,0.4,1.1,0.346
2025-26,203076,Anthony Davis,1610612742,DAL,32.0,Anthony,4.5,6.6,0.682,1.2,3.0,0.4,1.6,3.6,0.444,0.0,0.1,0.0,0.2,0.3,0.667,0.5,1.7,0.294,0.0,0.0,0.0,0.2,0.4,0.5
2025-26,1630162,Anthony Edwards,1610612750,MIN,24.0,Anthony,3.4,4.5,0.744,1.8,3.7,0.473,1.2,3.1,0.393,0.2,0.5,0.3,0.1,0.1,0.5,3.2,7.5,0.423,0.0,0.0,0.0,0.2,0.6,0.333
2025-26,1630264,Anthony Gill,1610612764,WAS,33.0,Anthony,0.5,0.6,0.8,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0
2025-26,1641810,Antonio Reeves,1610612766,CHA,25.0,Antonio,0.4,0.8,0.5,0.0,0.2,0.0,0.2,0.2,1.0,0.2,0.3,0.5,0.5,0.5,1.0,0.3,1.0,0.333,0.0,0.0,0.0,0.5,0.7,0.75
2025-26,1630574,Ariel Hukporti,1610612752,NYK,23.0,Ariel,0.5,0.6,0.778,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642854,Asa Newell,1610612737,ATL,20.0,Asa,0.8,1.3,0.611,0.2,0.4,0.5,0.0,0.0,0.0,0.3,0.8,0.333,0.4,0.7,0.571,0.3,0.4,0.667,0.0,0.0,0.0,0.6,1.3,0.438
2025-26,1641709,Ausar Thompson,1610612765,DET,22.0,Ausar,3.2,5.0,0.63,1.3,3.0,0.441,0.2,0.7,0.286,0.1,0.1,0.5,0.1,0.2,0.5,0.1,0.5,0.2,0.0,0.0,0.0,0.2,0.3,0.5
2025-26,1630559,Austin Reaves,1610612747,LAL,27.0,Austin,2.8,3.6,0.775,2.4,4.3,0.547,0.7,1.4,0.481,0.1,0.3,0.4,0.2,0.5,0.444,2.6,7.0,0.364,0.0,0.0,0.0,0.3,0.7,0.429
2025-26,1630245,Ayo Dosunmu,1610612741,CHI,25.0,Ayo,2.8,5.0,0.56,0.7,1.3,0.538,0.1,0.2,0.25,0.2,0.7,0.214,0.7,1.2,0.565,1.1,2.2,0.512,0.0,0.0,0.0,0.8,1.9,0.432
2025-26,1628389,Bam Adebayo,1610612748,MIA,28.0,Bam,1.7,2.4,0.705,2.4,5.0,0.489,0.9,1.9,0.486,0.4,1.3,0.333,0.2,0.8,0.286,1.1,2.9,0.377,0.0,0.0,0.0,0.7,2.1,0.316
2025-26,1631248,Baylor Scheierman,1610612738,BOS,25.0,Baylor,0.2,0.2,0.75,0.2,0.2,0.75,0.1,0.1,1.0,0.3,0.4,0.833,0.3,0.4,0.667,0.4,1.2,0.348,0.0,0.0,0.0,0.5,0.7,0.75
2025-26,1642879,Ben Saraf,1610612751,BKN,19.0,Ben,0.5,1.3,0.375,0.6,0.8,0.7,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.8,2.1,0.36,0.0,0.0,0.0,0.0,0.7,0.0
2025-26,1641767,Ben Sheppard,1610612754,IND,24.0,Ben,1.0,1.7,0.553,0.2,0.6,0.308,0.1,0.4,0.375,0.2,0.8,0.294,0.2,0.7,0.267,0.7,2.5,0.268,0.0,0.0,0.0,0.4,1.5,0.281
2025-26,1631097,Bennedict Mathurin,1610612754,IND,23.0,Bennedict,2.3,4.2,0.545,0.8,2.0,0.385,0.7,1.5,0.45,0.2,0.4,0.4,0.5,0.8,0.7,2.2,5.5,0.394,0.0,0.0,0.0,0.7,1.2,0.6
2025-26,1641731,Bilal Coulibaly,1610612764,WAS,21.0,Bilal,1.8,2.7,0.688,0.0,1.3,0.0,0.1,0.2,0.5,0.3,0.7,0.375,0.3,0.6,0.429,0.4,2.2,0.192,0.0,0.0,0.0,0.5,1.3,0.4
2025-26,202687,Bismack Biyombo,1610612759,SAS,33.0,Bismack,0.4,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631104,Blake Wesley,1610612757,POR,22.0,Blake,1.7,2.5,0.667,0.0,0.2,0.0,0.3,1.3,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.3,1.5,0.222,0.0,0.0,0.0,0.0,0.2,0.0
2025-26,1626171,Bobby Portis,1610612749,MIL,30.0,Bobby,1.0,1.4,0.667,0.9,2.3,0.397,1.0,2.2,0.446,0.3,0.6,0.438,0.2,0.3,0.571,1.2,2.8,0.437,0.0,0.0,0.0,0.4,0.9,0.478
2025-26,1641752,Bobi Klintman,1610612765,DET,22.0,Bobi,0.5,0.8,0.6,0.2,0.5,0.333,0.0,0.3,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.5,1.2,0.429,0.0,0.0,0.0,0.0,0.7,0.0
2025-26,203992,Bogdan Bogdanović,1610612746,LAC,33.0,Bogdan,0.6,1.1,0.545,0.5,1.1,0.455,0.4,0.9,0.444,0.2,0.2,1.0,0.1,0.2,0.5,1.4,4.7,0.298,0.0,0.0,0.0,0.3,0.4,0.75
2025-26,1630538,Bones Hyland,1610612750,MIN,25.0,Bones,0.8,1.1,0.688,0.0,0.0,0.0,0.1,0.1,1.0,0.2,0.4,0.4,0.0,0.2,0.0,0.7,1.6,0.417,0.0,0.0,0.0,0.2,0.5,0.286
2025-26,203078,Bradley Beal,1610612746,LAC,32.0,Bradley,1.0,1.5,0.667,0.5,2.0,0.25,0.3,1.3,0.25,0.2,0.3,0.5,0.0,0.4,0.0,1.0,2.5,0.4,0.0,0.0,0.0,0.2,0.7,0.25
2025-26,1642382,Branden Carlson,1610612760,OKC,26.0,Branden,1.1,1.4,0.739,0.1,0.3,0.5,0.0,0.1,0.0,0.2,0.3,0.667,0.0,0.2,0.0,0.6,1.4,0.391,0.0,0.0,0.0,0.1,0.4,0.333
2025-26,1641764,Brandin Podziemski,1610612744,GSW,22.0,Brandin,1.2,1.8,0.652,0.8,1.8,0.455,0.4,1.4,0.294,0.3,0.5,0.538,0.2,0.5,0.417,1.5,3.9,0.378,0.0,0.0,0.0,0.5,1.0,0.48
2025-26,1627742,Brandon Ingram,1610612761,TOR,28.0,Brandon,2.0,2.9,0.681,1.9,4.0,0.47,2.6,5.6,0.471,0.2,0.8,0.263,0.2,0.4,0.4,1.1,3.4,0.321,0.0,0.0,0.0,0.4,1.2,0.31
2025-26,1641706,Brandon Miller,1610612766,CHA,23.0,Brandon,1.9,2.5,0.75,0.9,2.8,0.318,0.5,1.9,0.267,0.1,0.9,0.167,0.3,0.3,1.0,1.9,6.9,0.273,0.0,0.0,0.0,0.4,1.0,0.375
2025-26,1630314,Brandon Williams,1610612742,DAL,26.0,Brandon,2.1,4.0,0.527,0.9,2.0,0.467,0.2,0.7,0.25,0.0,0.4,0.0,0.1,0.5,0.2,0.5,2.1,0.224,0.0,0.0,0.0,0.1,0.9,0.105
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,22.0,Brice,0.4,0.8,0.5,0.7,1.3,0.571,0.3,0.7,0.467,0.4,0.9,0.421,0.2,0.5,0.444,1.0,3.3,0.3,0.0,0.0,0.0,0.6,1.3,0.429
2025-26,1642355,Bronny James,1610612747,LAL,21.0,Bronny,0.3,0.3,0.75,0.2,0.7,0.333,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.3,0.8,0.4,0.0,0.0,0.0,0.0,0.4,0.0
2025-26,201572,Brook Lopez,1610612746,LAC,37.0,Brook,0.2,0.4,0.571,0.4,0.9,0.471,0.2,0.4,0.429,0.0,0.0,0.0,0.0,0.3,0.0,1.3,3.5,0.381,0.0,0.0,0.0,0.0,0.3,0.0
2025-26,1642964,Brooks Barnhizer,1610612760,OKC,23.0,Brooks,0.5,0.8,0.692,0.1,0.3,0.4,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5
2025-26,1628971,Bruce Brown,1610612743,DEN,29.0,Bruce,1.5,2.6,0.593,0.3,1.4,0.25,0.1,0.3,0.286,0.0,0.2,0.2,0.2,0.5,0.417,0.3,1.0,0.318,0.0,0.0,0.0,0.3,0.7,0.353
2025-26,1631121,Bryce McGowens,1610612740,NOP,23.0,Bryce,1.5,2.9,0.525,0.4,1.0,0.385,0.1,0.1,1.0,0.2,0.3,0.5,0.1,0.5,0.2,0.4,0.8,0.545,0.0,0.0,0.0,0.2,0.7,0.333
2025-26,1642267,Bub Carrington,1610612764,WAS,20.0,Bub,0.2,0.7,0.25,0.2,1.1,0.2,0.5,1.4,0.323,0.1,0.1,0.667,0.1,0.5,0.25,1.3,2.8,0.452,0.0,0.0,0.0,0.2,0.7,0.333
2025-26,1627741,Buddy Hield,1610612744,GSW,32.0,Buddy,1.1,1.7,0.643,0.2,0.4,0.545,0.2,0.5,0.417,0.0,0.3,0.125,0.2,0.6,0.4,1.2,3.8,0.305,0.0,0.0,0.0,0.3,0.9,0.304
2025-26,203468,CJ McCollum,1610612764,WAS,34.0,CJ,1.5,2.4,0.635,1.2,3.0,0.409,0.9,2.2,0.417,0.1,0.5,0.2,0.3,0.6,0.538,2.6,6.4,0.404,0.0,0.0,0.0,0.4,1.0,0.391
2025-26,1630595,Cade Cunningham,1610612765,DET,24.0,Cade,3.3,5.6,0.585,2.9,6.0,0.476,1.5,3.0,0.484,0.0,0.1,0.0,0.0,0.1,0.0,1.9,6.1,0.313,0.0,0.0,0.0,0.0,0.3,0.0
2025-26,1631216,Caleb Houstan,1610612737,ATL,22.0,Caleb,0.1,0.3,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.3,0.5,0.5
