Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,6-6,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,1,10.0,5.0,0.0,-18.5,0.091,0.267,0.276,0.625,0.0
2025-26,1631260,AJ Green,1610612749,MIL,26.0,6-4,76,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,24,11.3,2.8,2.1,0.6,0.001,0.096,0.126,0.724,0.095
2025-26,1642358,AJ Johnson,1610612764,WAS,21.0,6-5,77,160,None,USA,2024,1,23,10,0.7,0.6,0.4,-21.3,0.042,0.083,0.16,0.237,0.125
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,6-8,80,235,Arizona,USA,2014,1,4,13,18.8,5.9,1.3,20.7,0.053,0.147,0.221,0.676,0.062
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,6-0,72,185,UCLA,USA,2018,1,23,16,9.1,1.0,1.2,16.9,0.008,0.046,0.194,0.642,0.095
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,6-5,77,215,Vanderbilt,USA,2020,1,14,11,15.5,4.5,1.5,-7.0,0.042,0.099,0.199,0.518,0.079
2025-26,1630598,Aaron Wiggins,1610612760,OKC,26.0,6-5,77,190,Maryland,USA,2021,2,55,13,13.8,3.2,2.2,17.8,0.035,0.085,0.206,0.614,0.119
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,6-9,81,200,Rutgers,USA,2025,1,5,23,10.3,3.3,1.7,-10.8,0.054,0.083,0.185,0.547,0.112
2025-26,1641737,Adem Bona,1610612755,PHI,22.0,6-10,82,235,UCLA,Nigeria,2024,2,41,17,3.5,3.7,0.2,2.6,0.09,0.121,0.092,0.583,0.014
2025-26,1642876,Adou Thiero,1610612747,LAL,21.0,6-7,79,220,Arkansas,USA,2025,2,36,8,1.3,0.8,0.1,-16.5,0.089,0.054,0.085,0.694,0.027
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23.0,6-4,76,190,California-Santa Barbara,Belgium,2024,2,38,24,14.4,3.3,3.6,18.2,0.021,0.094,0.223,0.572,0.191
2025-26,201143,Al Horford,1610612744,GSW,39.0,6-8,80,240,Florida,Dominican Republic,2007,1,3,13,5.6,4.4,2.0,-7.6,0.037,0.167,0.144,0.453,0.139
2025-26,1627936,Alex Caruso,1610612760,OKC,31.0,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,15,5.7,2.4,2.5,29.2,0.019,0.105,0.142,0.535,0.16
2025-26,1642259,Alex Sarr,1610612764,WAS,20.0,7-0,84,205,None,France,2024,1,2,16,19.1,8.6,3.3,-10.2,0.078,0.19,0.264,0.569,0.177
2025-26,1642918,Alijah Martin,1610612761,TOR,23.0,6-2,74,210,Florida,USA,2025,2,39,1,0.0,0.0,0.0,75.0,0.0,0.0,0.125,0.0,0.0
2025-26,1630578,Alperen Sengun,1610612745,HOU,23.0,6-11,83,243,None,Turkey,2021,1,16,19,23.1,9.1,7.1,9.6,0.079,0.168,0.261,0.582,0.295
